"status","candidate_basis","acquisition_expansion","catalog_scope","decor_id","item_id","decor_name","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","1169","245513","Square Pandaren Table","crafted","1 Square Pandaren Table Furnishings › Tables and Desks Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261239","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1169/square-pandaren-table-1169/","Square Pandaren Table","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","1172","245512","Pandaren Cradle Stool","vendor","1 Pandaren Cradle Stool Furnishings › Seating Tan Shin Tiao (Vale of Eternal Blossoms) 240","","","64605","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1172/pandaren-cradle-stool-1172/","Pandaren Cradle Stool","-3","35","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","1187","245514","Pandaren Wooden Table","crafted","3 Pandaren Wooden Table Furnishings › Tables and Desks Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261238","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1187/pandaren-wooden-table-1187/","Pandaren Wooden Table","4","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","1194","245509","Pandaren Stone Wall","crafted","1 Pandaren Stone Wall Structural › Misc Structural Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261243","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1194/pandaren-stone-wall-1194/","Pandaren Stone Wall","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","1201","245508","Pandaren Cooking Table","vendor","5 Pandaren Cooking Table Furnishings › Tables and Desks Gina Mudclaw (Valley of the Four Winds) 800","","","58706","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1201/pandaren-cooking-table-1201/","Pandaren Cooking Table","-3","35","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","2512","246846","Tome of Pandaren Wisdom","drop","1 Tome of Pandaren Wisdom Accents › Ornamental Encounter: Sha of Doubt (Temple of the Jade Serpent)","","","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/2512/tome-of-pandaren-wisdom-2512/","Tome of Pandaren Wisdom","-3","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","2591","247220","Mushan Dumpling Stack","crafted","1 Mushan Dumpling Stack Accents › Food and Drink Crafting: Cooking Profession: Pandaria Cooking (60)","","","","1266563","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/2591/mushan-dumpling-stack-2591/","Mushan Dumpling Stack","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3831","247661","Pandaren Signal Brazier","crafted","1 Pandaren Signal Brazier Lighting › Large Lights Crafting: Blacksmithing Profession: Pandaria Blacksmithing (60)","","","","1261235","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3831/pandaren-signal-brazier-3831/","Pandaren Signal Brazier","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3832","247662","Pandaren Scholar's Lectern","vendor","3 Pandaren Scholar's Lectern Furnishings › Tables and Desks Tan Shin Tiao (Vale of Eternal Blossoms) 400","","","64605","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3832/pandaren-scholars-lectern-3832/","Pandaren Scholar's Lectern","-3","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3833","247663","Pandaren Scholar's Bookcase","vendor","5 Pandaren Scholar's Bookcase Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 1600","","","64605","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3833/pandaren-scholars-bookcase-3833/","Pandaren Scholar's Bookcase","-3","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3839","247669","Lorewalker's Bookcase","crafted","5 Lorewalker's Bookcase Furnishings › Storage Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261241","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3839/lorewalkers-bookcase-3839/","Lorewalker's Bookcase","4","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3840","247670","Pandaren Pantry","vendor","5 Pandaren Pantry Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 800","","","58706","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3840/pandaren-pantry-3840/","Pandaren Pantry","-3","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3868","247728","Pandaren Stone Post","crafted","1 Pandaren Stone Post Structural › Misc Structural Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261244","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3868/pandaren-stone-post-3868/","Pandaren Stone Post","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3869","247729","Pandaren Stone Lamppost","quest","3 Pandaren Stone Lamppost Structural › Misc Structural Welcome to Dawn's Blossom Sage Lotusbloom (Shrine of Two Moons, Vale of Eternal Blossoms) 240 +1 more source","","31230","64001","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3869/pandaren-stone-lamppost-3869/","Pandaren Stone Lamppost","-3","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3870","247730","Red Crane Kite","vendor","5 Red Crane Kite Accents › Ornamental San Redscale (The Jade Forest) 800","","","58414","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3870/red-crane-kite-3870/","Red Crane Kite","-3","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3871","247731","Hanging Paper Lanterns","crafted","5 Hanging Paper Lanterns Accents › Ornamental Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261237","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3871/hanging-paper-lanterns-3871/","Hanging Paper Lanterns","4","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3872","247732","Lucky Hanging Lantern","vendor","5 Lucky Hanging Lantern Lighting › Ceiling Lights San Redscale (The Jade Forest) 400","","","58414","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3872/lucky-hanging-lantern-3872/","Lucky Hanging Lantern","-3","3","3","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3873","247733","Halfhill Cookpot","crafted","3 Halfhill Cookpot Functional › Utility Crafting: Engineering Profession: Pandaria Engineering (60)","","","","1261236","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3873/halfhill-cookpot-3873/","Halfhill Cookpot","4","35","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3874","247734","Paw'don Well","vendor","5 Paw'don Well Structural › Large Structures Gina Mudclaw (Valley of the Four Winds) 640","","","58706","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3874/pawdon-well-3874/","Paw'don Well","-3","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3875","247735","Lucky Traveler's Bench","crafted","1 Lucky Traveler's Bench Furnishings › Seating Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261240","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3875/lucky-travelers-bench-3875/","Lucky Traveler's Bench","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3876","247736","Jade Temple Dragon Fountain","crafted","5 Jade Temple Dragon Fountain Structural › Large Structures Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261242","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3876/jade-temple-dragon-fountain-3876/","Jade Temple Dragon Fountain","4","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3877","247737","Stormstout Brew Keg","vendor","1 Stormstout Brew Keg Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 240","","","58706","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3877/stormstout-brew-keg-3877/","Stormstout Brew Keg","-3","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3878","247738","Pandaren Meander Rug","crafted","5 Pandaren Meander Rug Accents › Floor Crafting: Tailoring Profession: Pandaria Tailoring (60)","","","","1261250","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3878/pandaren-meander-rug-3878/","Pandaren Meander Rug","4","3","4","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3880","247740","Kotmogu Pedestal","achievement","1 Kotmogu Pedestal Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 2000 Honor +1 more source","6981","","254606","","1792","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3880/kotmogu-pedestal-3880/","Kotmogu Pedestal","-3","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3881","247741","Kotmogu Orb of Power","achievement","1 Kotmogu Orb of Power Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 1000 Honor +1 more source","6981","","254606","","1792","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3881/kotmogu-orb-of-power-3881/","Kotmogu Orb of Power","-3","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3892","247752","Pandaren Fireplace","crafted","5 Pandaren Fireplace Lighting › Misc Lighting Crafting: Blacksmithing Profession: Pandaria Blacksmithing (60)","","","","1261234","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3892/pandaren-fireplace-3892/","Pandaren Fireplace","4","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3904","247767","Wise Pandaren's Bed","crafted","3 Wise Pandaren's Bed Furnishings › Beds Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261248","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3904/wise-pandarens-bed-3904/","Wise Pandaren's Bed","4","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3993","247855","Pandaren Lacquered Crate","vendor","1 Pandaren Lacquered Crate Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 240","","","64605","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3993/pandaren-lacquered-crate-3993/","Pandaren Lacquered Crate","-3","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3994","247856","Serenity Peak Tent","crafted","5 Serenity Peak Tent Structural › Large Structures Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261245","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3994/serenity-peak-tent-3994/","Serenity Peak Tent","4","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","3995","247858","Shaohao Ceremonial Bell","quest","5 Shaohao Ceremonial Bell Structural › Large Structures Path of the Last Emperor (Kun-Lai Summit) Tan Shin Tiao (Vale of Eternal Blossoms) 1600","","32816","64605","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3995/shaohao-ceremonial-bell-3995/","Shaohao Ceremonial Bell","-3","3","1","1","5"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","global_acquisition_match","4488","248663","Wooden Doghouse","quest","3 Wooden Doghouse Structural › Misc Structural Lost and Lonely (Valley of the Four Winds) Gina Mudclaw (Valley of the Four Winds) 240","","30526","58706","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/4488/wooden-doghouse-4488/","Wooden Doghouse","-3","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","5111","248934","Golden Cloud Serpent Treasure Chest","drop","3 Golden Cloud Serpent Treasure Chest Furnishings › Storage Treasure: Golden Cloud Serpent Treasure Chest (Jade Forest) Second Chair Pawdo (Dornogal)","","","252312","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/5111/golden-cloud-serpent-treasure-chest-5111/","Golden Cloud Serpent Treasure Chest","-3","3","1","1","3"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","11378","257043","Pandaren Alchemist's Retort","crafted","1 Pandaren Alchemist's Retort Accents › Ornamental Crafting: Alchemy Profession: Pandaria Alchemy (60)","","","","1261233","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11378/pandaren-alchemists-retort-11378/","Pandaren Alchemist's Retort","4","3","1","1","1"
"acquisition_mop_confirmed","live_catalog_acquisition_audit","mop","mop_theme","11434","257096","Pandaren Table Lamp","crafted","1 Pandaren Table Lamp Lighting › Small Lights Crafting: Enchanting Profession: Pandaria Enchanting (60)","","","","1262306","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11434/pandaren-table-lamp-11434/","Pandaren Table Lamp","4","3","1","1","1"
