"status","release_decision","unavailable","current_exists","toy_id","item_id","name","source_type_enum","flags","source_text","guide_url"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","21","86568","Mr. Smite's Brass Compass","0","0","Mr. Smite's Brass Compass Release the memories of a long-lost first mate. Drop: Yorik Sharpeye Vale of Eternal Blossoms --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","22","86571","Kang's Bindstone","0","0","Kang's Bindstone Become infused with stone, granting a chance upon killing an opponent to encase them in stone. ""Mogu stonebinders use these rune-etched catalysts to transform flesh to stone."" Drop: Kang the Soul Thief Vale of Eternal Blossoms --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","24","86575","Chalice of Secrets","0","0","Chalice of Secrets Give in to your anger for 10 seconds. While active, the next killing blow made against a player will transform you into a Mogu for 5.5 seconds, preventing any actions from being taken while you gloat. ""The rituals for desecrating a fallen opponent are a well-established part of Mogu culture."" Drop: Vale of Eternal Blossoms --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","129","86581","Farwater Conch","0","0","Farwater Conch Allows you to see far into the distance and grants the ability to create small water droplets. ""Inscribed with Jinyu runes that allow the user to understand the language of the waves."" Drop: Zai the Outcast Kun-Lai Summit --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","132","86586","Panflute of Pandaria","0","0","Panflute of Pandaria Play the panflute, causing nearby critters to follow you for 15 minutes. Drop: Moldo One-Eye Vale of Eternal Blossoms --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","133","86588","Pandaren Firework Launcher","0","0","Pandaren Firework Launcher Set up a dazzling firework display. ""Party over here!"" Drop: Ahone the Wanderer Kun-Lai Summit --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","134","86589","Ai'Li's Skymirror","0","0","Ai'Li's Skymirror Take on the slightly shimmery appearance of the target for 10 minutes. ""Rimmed with an ever-shifting ring of clouds."" Drop: Ai'Li Skymirror Dread Wastes --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","137","86593","Hozen Beach Ball","0","0","Hozen Beach Ball Get ready for fun in the sun! Drop: Ik-Ik the Nimble Dread Wastes --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","139","86596","Nat's Fishing Chair","5","0","Nat's Fishing Chair Set up a comfy fishing chair. ""It even has a beverage holder!"" Achievement: Learning from the Best (Fishing) -- --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","142","90175","Gin-Ji Knife Set","2","4","Gin-Ji Knife Set Chop, mince, and julienne a fresh humanoid or beast corpse. Vendor: Gina Mudclaw Valley of the Four Winds Faction: The Tillers – Exalted 250 Gold","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
