"status","release_decision","unavailable","current_exists","species_id","name","creature_id","summon_spell_id","pet_type_enum","flags","source_type_enum","source_text","guide_url"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","380","Bucktooth Flapper","62992","0","7","26","4","Bucktooth Flapper ""It's hard to know what's more dangerous: the teeth or the tail."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","383","Eternal Strider","61088","0","8","26","4","Eternal Strider ""It seems like a trick to the eyes, but the eternal strider can walk across water, its small feet never breaking the surface."" Pet Battle Vale of Eternal Blossoms --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","560","Sea Gull","62953","0","2","26","4","Sea Gull ""The seagull is a coastal scavenger often found near the docks."" Pet Battle Frostwall, Krasarang Wilds, Talador, Tanaris --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","562","Coral Adder","62991","0","7","26","4","Coral Adder ""The coral adder's venom is so deadly that one bite has been known to kill a full grown kodo beast."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","564","Emerald Turtle","62994","0","8","26","4","Emerald Turtle ""It is difficult to believe that Shen-zin Su, on whose shell rests all of the Wandering Isle, began life as a tiny emerald turtle."" Pet Battle Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","565","Jungle Darter","62997","0","8","26","4","Jungle Darter ""In the jungle, every leaf could conceal a frog. Stop to check and it could be long gone."" Pet Battle Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","566","Mirror Strider","62998","0","8","26","4","Mirror Strider ""When preparing to travel to distant locations, Pandaren will traditionally capture a mirror strider and safely relocate it to another body of water."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","567","Temple Snake","62999","0","7","26","4","Temple Snake ""The Jade Forest's pandaren consider these reptiles distant relatives of the revered Jade Serpent, Yu'lon."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","568","Silkbead Snail","63001","0","4","26","4","Silkbead Snail ""Hides in shell to escape claws of nearby crabs."" Pet Battle Gorgrond, Spires of Arak, Talador, The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","569","Garden Frog","63002","0","8","26","4","Garden Frog ""One of the stranger nuisances to horticulturalists, garden frogs can cause untold damage to gardens."" Pet Battle Azsuna, Highmountain, The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","570","Masked Tanuki","63003","0","4","26","4","Masked Tanuki ""There's a raging debate over whether tanukis are raccoons or dogs, but the distinction seems trivial when they're gnawing on your femur."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","571","Grove Viper","63004","0","7","26","4","Grove Viper ""The Jade Forest's mountain hozen fear these venomous reptiles and often hunt them out of pure spite."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","572","Spirebound Crab","63005","0","8","26","4","Spirebound Crab ""These tiny arthropods are Pandaria natives that call the area of the Windless Isle their home."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","573","Sandy Petrel","63006","0","2","26","4","Sandy Petrel ""The sandy petrel flies high above the Windless Isle, safe from landbound predators."" Pet Battle Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","650","Terrible Turnip","63365","123778","6","2","0","Terrible Turnip ""And you thought turnips at the dinner table were bad."" Drop: World Drop Valley of the Four Winds --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","652","Tiny Goldfish","63559","124000","8","2","2","Tiny Goldfish ""This bubble is way worse than a tank."" Vendor: Nat Pagle Krasarang Wilds Faction: The Anglers – Honored 250 Gold","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","677","Shy Bandicoon","64246","0","4","26","4","Shy Bandicoon ""A goblin alchemist once claimed that the bite of this raccoon gave him the gift of prophecy. Turns out, it was just rabies."" Pet Battle Valley of the Four Winds --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","678","Jungle Grub","63304","0","7","26","4","Jungle Grub ""These little green grubs are native to wilds of Pandaria. Its verdant coloration camouflages it from would-be predators."" Pet Battle Krasarang Wilds --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","679","Summit Kid","64248","0","7","26","4","Summit Kid ""You'll often find them perched high atop impossibly high and remote stone outcroppings. There are few creatures as sure of foot."" Pet Battle Kun-Lai Summit --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","680","Kuitan Mongoose","63953","0","8","26","4","Kuitan Mongoose ""The mongoose is prized for its ability to drive off poisonous snakes. Rikk-tikk-tikki-tikki-tchk!"" Pet Battle Townlong Steppes --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","699","Jumping Spider","63715","0","7","26","4","Jumping Spider ""This terrifying and highly venomous species leaps onto its prey from the Jade Forest's dense canopy."" Pet Battle The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"blizzard_mop_acquisition_confirmed","include_mop","False","True","702","Leopard Tree Frog","63919","0","8","26","4","Leopard Tree Frog ""The leopard tree frog was named for the way it pounces from branch to branch."" Pet Battle Gorgrond, The Jade Forest --","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
