"status","current_exists","decor_id","item_id","name","catalog_scope","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","acquisition_source_url"
"acquisition_classic_confirmed","True","854","245502","Brill Coffin","classic_theme","classic","crafted","3 Brill Coffin Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261572","","https://housing.wowdb.com/decor/854/brill-coffin-854/"
"acquisition_classic_confirmed","True","922","245503","Brill Coffin Lid","classic_theme","classic","crafted","3 Brill Coffin Lid Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261549","","https://housing.wowdb.com/decor/922/brill-coffin-lid-922/"
"acquisition_classic_confirmed","True","1119","242948","Loch Modan Bearskin Rug","global_acquisition_match","classic","crafted","5 Loch Modan Bearskin Rug Accents › Floor Crafting: Leatherworking Profession: Classic Leatherworking (240)","","","","1261672","","https://housing.wowdb.com/decor/1119/loch-modan-bearskin-rug-1119/"
"acquisition_classic_confirmed","True","1282","243336","Elder Rise Rug","classic_theme","classic","crafted","3 Elder Rise Rug Accents › Floor Crafting: Tailoring Profession: Classic Tailoring (240)","","","","1261688","","https://housing.wowdb.com/decor/1282/elder-rise-rug-1282/"
"acquisition_classic_confirmed","True","2001","246111","Shadowforge Sconce","classic_theme","classic","crafted","1 Shadowforge Sconce Lighting › Wall Lights Crafting: Blacksmithing Profession: Classic Blacksmithing (240)","","","","1261497","","https://housing.wowdb.com/decor/2001/shadowforge-sconce-2001/"
"acquisition_classic_confirmed","True","2227","246410","Dark Iron Table Saw","classic_theme","classic","crafted","3 Dark Iron Table Saw Furnishings › Tables and Desks Crafting: Engineering Profession: Classic Engineering (240)","","","","1261509","","https://housing.wowdb.com/decor/2227/dark-iron-table-saw-2227/"
"acquisition_classic_confirmed","True","2230","246413","Blackrock Lamppost","classic_theme","classic","crafted","3 Blackrock Lamppost Lighting › Large Lights Crafting: Jewelcrafting Profession: Classic Jewelcrafting (240)","","","","1261667","","https://housing.wowdb.com/decor/2230/blackrock-lamppost-2230/"
"acquisition_classic_confirmed","True","2237","246420","Kharanos Bookcase","classic_theme","classic","crafted","5 Kharanos Bookcase Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261587","","https://housing.wowdb.com/decor/2237/kharanos-bookcase-2237/"
"acquisition_classic_confirmed","True","2240","246423","Wooden Ironforge Table","classic_theme","classic","crafted","3 Wooden Ironforge Table Furnishings › Tables and Desks Crafting: Inscription Profession: Classic Inscription (240)","","","","1261644","","https://housing.wowdb.com/decor/2240/wooden-ironforge-table-2240/"
"acquisition_classic_confirmed","True","2246","246429","Dark Iron Chandelier","classic_theme","classic","drop","1 Dark Iron Chandelier Lighting › Ceiling Lights Encounter: Emperor Dagran Thaurissan (Blackrock Depths)","","","","","","https://housing.wowdb.com/decor/2246/dark-iron-chandelier-2246/"
"acquisition_classic_confirmed","True","2331","246488","Ironforge Chandelier","classic_theme","classic","crafted","1 Ironforge Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Classic Jewelcrafting (240)","","","","1261659","","https://housing.wowdb.com/decor/2331/ironforge-chandelier-2331/"
"acquisition_classic_confirmed","True","2332","246489","Steel Ironforge Emblem","classic_theme","classic","crafted","3 Steel Ironforge Emblem Accents › Wall Hangings Crafting: Blacksmithing Profession: Classic Blacksmithing (240)","","","","1261499","","https://housing.wowdb.com/decor/2332/steel-ironforge-emblem-2332/"
"acquisition_classic_confirmed","True","2452","246685","Dwarven District Banner","classic_theme","classic","crafted","5 Dwarven District Banner Accents › Wall Hangings Crafting: Tailoring Profession: Classic Tailoring (240)","","","","1261695","","https://housing.wowdb.com/decor/2452/dwarven-district-banner-2452/"
"acquisition_classic_confirmed","True","2465","246700","Gnomish Steam-Powered Bed","global_acquisition_match","classic","crafted","1 Gnomish Steam-Powered Bed Furnishings › Beds Crafting: Engineering Profession: Classic Engineering (240)","","","","1261504","","https://housing.wowdb.com/decor/2465/gnomish-steam-powered-bed-2465/"
"acquisition_classic_confirmed","True","3893","247756","Challenger's Dueling Flag","classic_theme","classic","achievement","3 Challenger's Dueling Flag Accents › Ornamental Duel-icious Joruh (Orgrimmar) 1000 Honor +1 more source","1157","","254606","","1792","https://housing.wowdb.com/decor/3893/challengers-dueling-flag-3893/"
"acquisition_classic_confirmed","True","9266","253250","Tirisfal Hollow Campfire","classic_theme","classic","crafted","1 Tirisfal Hollow Campfire Lighting › Misc Lighting Crafting: Enchanting Profession: Classic Enchanting (240)","","","","1261501","","https://housing.wowdb.com/decor/9266/tirisfal-hollow-campfire-9266/"
"acquisition_classic_confirmed","True","11274","256673","Stormwind Forge","global_acquisition_match","classic","quest","5 Stormwind Forge Structural › Misc Structural A Binding Contract Captain Lancy Revshon (Stormwind City) 950","","7604","49877","","","https://housing.wowdb.com/decor/11274/stormwind-forge-11274/"
"acquisition_classic_confirmed","True","11376","257041","Stoppered Black Potion","classic_theme","classic","crafted","1 Stoppered Black Potion Accents › Ornamental Crafting: Alchemy Profession: Classic Alchemy (240)","","","","1261495","","https://housing.wowdb.com/decor/11376/stoppered-black-potion-11376/"
"acquisition_classic_confirmed","True","11438","257100","Apothecary's Worktable","classic_theme","classic","crafted","3 Apothecary's Worktable Furnishings › Tables and Desks Crafting: Alchemy Profession: Classic Alchemy (240)","","","","1262829","","https://housing.wowdb.com/decor/11438/apothecarys-worktable-11438/"
"acquisition_classic_confirmed","True","11755","257725","Camp Narache Rug","classic_theme","classic","crafted","1 Camp Narache Rug Accents › Floor Crafting: Leatherworking Profession: Classic Leatherworking (240)","","","","1263633","","https://housing.wowdb.com/decor/11755/camp-narache-rug-11755/"
"acquisition_classic_confirmed","True","11935","258289","Thunder Bluff Totem","classic_theme","classic","crafted","1 Thunder Bluff Totem Structural › Misc Structural Crafting: Inscription Profession: Classic Inscription (240)","","","","1269495","","https://housing.wowdb.com/decor/11935/thunder-bluff-totem-11935/"
"acquisition_classic_confirmed","True","14816","263027","Darkmaster's Mystical Brazier","classic_theme","classic","crafted","3 Darkmaster's Mystical Brazier Lighting › Large Lights Crafting: Enchanting Profession: Classic Enchanting (240)","","","","1270459","","https://housing.wowdb.com/decor/14816/darkmasters-mystical-brazier-14816/"
