"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","reward_item_id","flags","points"
"snapshot_candidate","True","15644","Good Things Come in Small Packages","Collect 1800 unique pets.","15118","Collect","134009","191946","143360","10"
"snapshot_candidate","True","16731","Court is Now in Session","Collect all of the battle pets listed below.","15118","Collect","140575","0","131072","10"
"snapshot_candidate","True","19408","Professional Algari Master","Obtain the maximum skill points in the ""Khaz Algar"" category of a primary profession.","169","Professions","151750","0","136192","10"
"snapshot_candidate","True","19409","Working Underground","Obtain maximum skill points in the ""Khaz Algar"" category of two primary professions.","169","Professions","151762","0","131072","10"
"snapshot_candidate","True","19410","Algari Master of All","Raise all primary professions to maximum skill points in the ""Khaz Algar"" category.","169","Professions","151774","0","143360","50"
"snapshot_candidate","True","19414","Algari Cook","Obtain 100 skill points in the ""Khaz Algar"" category of cooking.","170","Cooking","151796","0","0","10"
"snapshot_candidate","True","19415","Algari Fisherman","Obtain 300 skill points in the ""Khaz Algar"" category of fishing.","171","Fishing","151804","0","0","10"
"snapshot_candidate","True","19459","Level 80","Reach level 80.","92","Characters","153290","0","2101252","10"
"snapshot_candidate","True","19460","Two Warband Mentors: The War Within","Reach level 80 with two characters.","92","Characters","153292","0","2490496","10"
"snapshot_candidate","True","19467","1st level 80 on account (DNT)","","92","Characters","153331","0","3145728","0"
"snapshot_candidate","True","19469","2nd level 80 on account (DNT)","","92","Characters","153339","0","3145728","0"
"snapshot_candidate","True","19470","One Warband Mentor: The War Within","Reach level 80 with one character.","92","Characters","153345","0","2490496","10"
"snapshot_candidate","True","19472","3nd level 80 on account (DNT)","","92","Characters","153348","0","3145728","0"
"snapshot_candidate","True","19473","4th level 80 on account (DNT)","","92","Characters","153350","0","3145728","0"
"snapshot_candidate","True","19474","5th level 80 on account (DNT)","","92","Characters","153352","0","3145728","0"
"snapshot_candidate","True","19475","Three Warband Mentors: The War Within","Reach level 80 with three characters.","92","Characters","153365","0","2490496","10"
"snapshot_candidate","True","19476","Four Warband Mentors: The War Within","Reach level 80 with four characters.","92","Characters","153360","0","2490496","10"
"snapshot_candidate","True","19477","Five Warband Mentors: The War Within","Reach level 80 with five characters.","92","Characters","153354","0","2490496","10"
"snapshot_candidate","True","19489","Class Connoisseur","Reach maximum level with every class.","81","Feats of Strength","153481","0","137216","0"
"snapshot_candidate","True","19510","Test - For PH - Multiple Characters Hitting Max Level (DNT)","This achievement would ideally tracking 5 characters hitting level 80, but unfortunately triggers after a single character hits 80. (DNT)","92","Characters","153638","0","1179652","0"
"snapshot_candidate","True","19515","Algari Master of Many","Obtain maximum skill points in the ""Khaz Algar"" category of five primary professions.","169","Professions","153767","0","135168","30"
"snapshot_candidate","True","19552","Vicious Saddle (39)","","15270","Player vs. Player","153801","103533","1180672","0"
"tww_category_confirmed","True","19559","Azj-Kahet","Complete the following storylines in Azj-Kahet.","15506","War Within","153818","0","0","10"
"tww_category_confirmed","True","19560","The Ringing Deeps","Complete the following storylines in The Ringing Deeps.","15506","War Within","153827","0","0","10"
"snapshot_candidate","True","19704","Overflowing Algari Flasks","Know each of the following recipes after learning to create an Algari Flask Cauldron.","15489","Alchemy","154520","0","131072","5"
"snapshot_candidate","True","19705","Test - For EHW - Account Wide Criteria Test (DNT)","","92","Characters","154536","0","1179648","0"
"snapshot_candidate","True","19716","Plentiful Algari Potions","Know each of the following recipes after learning to create an Algari Potion Cauldron.","15489","Alchemy","154577","0","131072","5"
"snapshot_candidate","True","19735","Algari Alchemy 25 (DNT)","","15489","Alchemy","154713","0","9437188","0"
"snapshot_candidate","True","19736","Algari Alchemy 50 (DNT)","","15489","Alchemy","154715","0","9437188","0"
"snapshot_candidate","True","19737","Algari Alchemy 60 (DNT)","","15489","Alchemy","154717","0","9437188","0"
"snapshot_candidate","True","19738","Algari Alchemy 75 (DNT)","","15489","Alchemy","154719","0","9437188","0"
"snapshot_candidate","True","19739","Algari Blacksmithing 25 (DNT)","","15490","Blacksmithing","154721","0","9437188","0"
"snapshot_candidate","True","19740","Algari Blacksmithing 50 (DNT)","","15490","Blacksmithing","154723","0","9437188","0"
"snapshot_candidate","True","19741","Algari Blacksmithing 60 (DNT)","","15490","Blacksmithing","154725","0","9437188","0"
"snapshot_candidate","True","19742","Algari Blacksmithing 75 (DNT)","","15490","Blacksmithing","154727","0","9437188","0"
"snapshot_candidate","True","19743","Algari Enchanting 25 (DNT)","","15491","Enchanting","154729","0","9437188","0"
"snapshot_candidate","True","19744","Algari Enchanting 50 (DNT)","","15491","Enchanting","154731","0","9437188","0"
"snapshot_candidate","True","19745","Algari Enchanting 60 (DNT)","","15491","Enchanting","154733","0","9437188","0"
"snapshot_candidate","True","19746","Algari Enchanting 75 (DNT)","","15491","Enchanting","154735","0","9437188","0"
"snapshot_candidate","True","19747","Algari Engineering 25 (DNT)","","15492","Engineering","154737","0","9437188","0"
"snapshot_candidate","True","19748","Algari Engineering 50 (DNT)","","15492","Engineering","154739","0","9437188","0"
"snapshot_candidate","True","19749","Algari Engineering 60 (DNT)","","15492","Engineering","154741","0","9437188","0"
"snapshot_candidate","True","19750","Algari Engineering 75 (DNT)","","15492","Engineering","154743","0","9437188","0"
"snapshot_candidate","True","19751","Algari Inscription 25 (DNT)","","15493","Inscription","154745","0","9437188","0"
"snapshot_candidate","True","19752","Algari Inscription 50 (DNT)","","15493","Inscription","154747","0","9437188","0"
"snapshot_candidate","True","19753","Algari Inscription 60 (DNT)","","15493","Inscription","154749","0","9437188","0"
"snapshot_candidate","True","19754","Algari Inscription 75 (DNT)","","15493","Inscription","154751","0","9437188","0"
"snapshot_candidate","True","19755","Algari Jewelcrafting 25 (DNT)","","15494","Jewelcrafting","154753","0","9437188","0"
"snapshot_candidate","True","19756","Algari Jewelcrafting 50 (DNT)","","15494","Jewelcrafting","154755","0","9437188","0"
"snapshot_candidate","True","19757","Algari Jewelcrafting 60 (DNT)","","15494","Jewelcrafting","154757","0","9437188","0"
"snapshot_candidate","True","19758","Algari Jewelcrafting 75 (DNT)","","15494","Jewelcrafting","154759","0","9437188","0"
"snapshot_candidate","True","19759","Algari Leatherworking 25 (DNT)","","15495","Leatherworking","154761","0","9437188","0"
"snapshot_candidate","True","19760","Algari Leatherworking 50 (DNT)","","15495","Leatherworking","154763","0","9437188","0"
"snapshot_candidate","True","19761","Algari Leatherworking 60 (DNT)","","15495","Leatherworking","154765","0","9437188","0"
"snapshot_candidate","True","19762","Algari Leatherworking 75 (DNT)","","15495","Leatherworking","154767","0","9437188","0"
"snapshot_candidate","True","19763","Algari Tailoring 25 (DNT)","","15496","Tailoring","154769","0","9437188","0"
"snapshot_candidate","True","19764","Algari Tailoring 50 (DNT)","","15496","Tailoring","154771","0","9437188","0"
"snapshot_candidate","True","19765","Algari Tailoring 60 (DNT)","","15496","Tailoring","154773","0","9437188","0"
"snapshot_candidate","True","19766","Algari Tailoring 75 (DNT)","","15496","Tailoring","154775","0","9437188","0"
"snapshot_candidate","True","19767","Algari Herbalism 25 (DNT)","","15499","Herbalism","154777","0","9437188","0"
"snapshot_candidate","True","19768","Algari Herbalism 50 (DNT)","","15499","Herbalism","154779","0","9437188","0"
"snapshot_candidate","True","19769","Algari Herbalism 60 (DNT)","","15499","Herbalism","154781","0","9437188","0"
"snapshot_candidate","True","19770","Algari Herbalism 75 (DNT)","","15499","Herbalism","154783","0","9437188","0"
"snapshot_candidate","True","19771","Algari Mining 25 (DNT)","","15497","Mining","154785","0","9437188","0"
"snapshot_candidate","True","19772","Algari Mining 50 (DNT)","","15497","Mining","154787","0","9437188","0"
"snapshot_candidate","True","19773","Algari Mining 60 (DNT)","","15497","Mining","154789","0","9437188","0"
"snapshot_candidate","True","19774","Algari Mining 75 (DNT)","","15497","Mining","154791","0","9437188","0"
"snapshot_candidate","True","19775","Algari Skinning 25 (DNT)","","15498","Skinning","154793","0","9437188","0"
"snapshot_candidate","True","19776","Algari Skinning 50 (DNT)","","15498","Skinning","154795","0","9437188","0"
"snapshot_candidate","True","19777","Algari Skinning 60 (DNT)","","15498","Skinning","154797","0","9437188","0"
